x,y
1,4.75225932
2,4.05973702
3,3.46776961
4,2.96394429
5,2.54473481
6,2.19249208
7,1.88809567
8,1.63164809
9,1.41637187
10,1.23272035
11,1.07255671
12,0.93183376
13,0.81647361
14,0.72386990
15,0.64992486
16,0.58903181
17,0.53732413
18,0.49415372
19,0.45773143
20,0.42686717
21,0.40151035
22,0.38054495
23,0.36302318
24,0.34909419
25,0.33725898
26,0.32818230
27,0.32082361
28,0.31523145
29,0.31088455
30,0.30711531
31,0.30416092
32,0.30175861
33,0.29984546
34,0.29817326
35,0.29687559
36,0.29569365
37,0.29465917
38,0.29380085
39,0.29303324
40,0.29229294
41,0.29162708
42,0.29104981
43,0.29056408
44,0.29007052
45,0.28966691
46,0.28927161
47,0.28889462
48,0.28854786
49,0.28823796
50,0.28792298
51,0.28762219
52,0.28736261
53,0.28708608
54,0.28687226
55,0.28666522
56,0.28637760
57,0.28615256
58,0.28598287
59,0.28574722
60,0.28551587
61,0.28532180
62,0.28514040
63,0.28499319
64,0.28486497
65,0.28463956
66,0.28448369
67,0.28438576
68,0.28422292
69,0.28408500
70,0.28395921
71,0.28394516
72,0.28373935
73,0.28353427
74,0.28351754
75,0.28341047
76,0.28321980
77,0.28317576
78,0.28300536
79,0.28294844
80,0.28282413
81,0.28273659
82,0.28267565
83,0.28259703
84,0.28245977
85,0.28234839
86,0.28234393
87,0.28224174
88,0.28235273
89,0.28207651
90,0.28217769
91,0.28187221
92,0.28179629
93,0.28177597
94,0.28164402
95,0.28157612
96,0.28148227
97,0.28141809
98,0.28132815
99,0.28125262
100,0.28117978
101,0.28127128
102,0.28102062
103,0.28098043
104,0.28092305
105,0.28079034
106,0.28071722
107,0.28064526
108,0.28069884
109,0.28055825
110,0.28044779
111,0.28043533
112,0.28045959
113,0.28024465
114,0.28023997
115,0.28014739
116,0.28017603
117,0.27999410
118,0.28015340
119,0.27994151
120,0.27991278
121,0.27985601
122,0.27983246
123,0.27972035
124,0.27972450
125,0.27964681
126,0.27961636
127,0.27955236
128,0.27955063
129,0.27946995
130,0.27949303
131,0.27940005
132,0.27934371
133,0.27936589
134,0.27925321
135,0.27929434
136,0.27912352
137,0.27929777
138,0.27935329
139,0.27922508
140,0.27907604
141,0.27904375
142,0.27906603
143,0.27915163
144,0.27902500
145,0.27896989
146,0.27898252
147,0.27885366
148,0.27885261
149,0.27885252
150,0.27882639
151,0.27895009
152,0.27875435
153,0.27878019
154,0.27890034
155,0.27870294
156,0.27865010
157,0.27863625
158,0.27861583
159,0.27862208
160,0.27851223
161,0.27845549
162,0.27854505
163,0.27840012
164,0.27838793
165,0.27832273
166,0.27839843
167,0.27877193
168,0.27838789
169,0.27824095
170,0.27815836
171,0.27811776
172,0.27802960
173,0.27801396
174,0.27797284
175,0.27801496
176,0.27795814
177,0.27786515
178,0.27784374
179,0.27797820
180,0.27776843
181,0.27782185
182,0.27785682
183,0.27778204
184,0.27775281
185,0.27774258
186,0.27768678
187,0.27766394
188,0.27765174
189,0.27764369
190,0.27763443
191,0.27755597
192,0.27761756
193,0.27748949
194,0.27748453
195,0.27759457
196,0.27744963
197,0.27748419
